true_x,true_pmf,dense_windows_x,dense_windows_pmf,dense_windows_replica_pmf,dense_windows_replica_abs_difference,sparse_windows_x,sparse_windows_pmf,sparse_windows_replica_pmf,sparse_windows_replica_abs_difference
0.58,0.4387968,0.58,0.458072808616,0.485020558342,0.0269477497259,0.58,0.544081797111,0.46073968964,0.0833421074711
0.66,0.3169792,0.66,0.355387584661,0.35878442491,0.00339684024971,0.66,0.437192284856,0.458267694611,0.0210754097546
0.74,0.2030976,0.74,0.300705196704,0.294215035266,0.00649016143784,0.74,0.387862903827,0.297307718668,0.0905551851589
0.82,0.1057536,0.82,0.174034567675,0.25800104511,0.083966477435,0.82,0.165976729035,0.136472959325,0.0295037697103
0.9,0.03453184,0.9,0.0724054653142,0.103479756197,0.0310742908825,0.9,0.233568396166,0.0519138876321,0.181654508534
0.98,0,0.98,0.0366571314848,0.109244447532,0.0725873160474,0.98,0.132037393036,0.141930967304,0.00989357426806
1.06,0.0137088,1.06,0.0621480623864,0.0397538678939,0.0223941944925,1.06,0,0,0
1.14,0.088192,1.14,0.171214232409,0.0639778399902,0.107236392419,1.14,0.21187549681,0.231815870246,0.0199403734358
1.22,0.2369664,1.22,0.417799955225,0.267252497525,0.1505474577,1.22,0.468358028395,0.258311063103,0.210046965292
1.3,0.47453184,1.3,0.571093212374,0.542286073043,0.0288071393312,1.3,0.726267684755,0.585766131832,0.140501552923
1.38,0.8163712,1.38,0.906437235799,0.871857291345,0.0345799444542,1.38,1.00540586295,0.846212653441,0.159193209511
1.46,1.2789504,1.46,1.35670038525,1.28064510029,0.0760552849623,1.46,1.42779092419,1.22707320626,0.200717717925
1.54,1.8797184,1.54,1.95849374397,1.83643233152,0.122061412443,1.54,2.11766308245,2.02802699453,0.0896360879191
1.62,2.6371072,1.62,2.76053255846,2.53357688459,0.226955673871,1.62,2.90063523089,2.76684020465,0.13379502624
1.7,3.57053184,1.7,3.59440457634,3.33697600759,0.257428568759,1.7,3.69853563023,3.68249231932,0.0160433109092
1.78,4.7003904,1.78,4.66354906993,4.37303867488,0.290510395045,1.78,5.10625185242,4.68473353083,0.42151832159
1.86,6.048064,1.86,6.90351128355,5.43397700777,1.46953427578,1.86,6.98663797205,6.15965141258,0.826986559473
1.94,7.6359168,1.94,6.46688904974,nan,nan,1.94,nan,6.42078545097,nan
2.02,9.487296,2.02,nan,nan,nan,2.02,nan,nan,nan
2.1,11.62653184,2.1,nan,nan,nan,2.1,nan,nan,nan
2.18,14.0789376,2.18,nan,nan,nan,2.18,nan,nan,nan
2.26,16.8708096,2.26,nan,nan,nan,2.26,nan,nan,nan
2.34,20.0294272,2.34,nan,nan,nan,2.34,nan,nan,nan
2.42,23.5830528,2.42,nan,nan,nan,2.42,nan,nan,nan
2.5,27.56093184,2.5,nan,nan,nan,2.5,nan,nan,nan
